text,intent,time,food_item,location
"Hi, Order food for me right now",order,9 PM,pasta,main road
"Hi, Hi quickly",greeting,6 PM,sandwich,near mall
"Hello, Table for 4 at 8 PM right now",reservation,8 PM,pasta,downtown
Hi please,greeting,7 PM,burger,main road
"Hey, What are your timings?",query,9 PM,pizza,downtown
"Hi, I want chicken biryani right now",order,7 PM,sandwich,near mall
"Hello, This is disappointing right now",complaint,6 PM,sandwich,near mall
"Hi, I want to order pizza quickly",order,6 PM,biryani,downtown
"Hey, I want to cancel reservation",cancel,10 PM,biryani,downtown
"Hey, Cancel my booking right now",cancel,8 PM,biryani,downtown
Order food for me quickly,order,6 PM,sandwich,city center
"Hi, Book a table for 2 quickly",reservation,7 PM,burger,main road
"Hi, Hello quickly",greeting,7 PM,sandwich,downtown
What are your timings? please,query,8 PM,pizza,near mall
Reserve a table tonight,reservation,7 PM,biryani,downtown
I want chicken biryani quickly,order,6 PM,pizza,near mall
"Hi, Order food for me quickly",order,10 PM,pizza,city center
"Excuse me, My order is late",complaint,7 PM,biryani,city center
"Hey, Cancel my order please",cancel,10 PM,biryani,downtown
Cancel my order please,cancel,10 PM,burger,downtown
"Hi, Food quality is bad please",complaint,8 PM,sandwich,main road
"Excuse me, This is disappointing quickly",complaint,10 PM,sandwich,main road
"Excuse me, Hi please",greeting,6 PM,pasta,near mall
"Hey, Cancel my booking right now",cancel,6 PM,pizza,city center
"Hi, Where are you located? quickly",query,6 PM,sandwich,downtown
What is on the menu?,query,8 PM,pizza,downtown
"Hi, Good evening quickly",greeting,9 PM,pizza,city center
"Hey, Where are you located? please",query,10 PM,burger,near mall
"Hello, Hey please",greeting,10 PM,biryani,downtown
I am not happy with service please,complaint,7 PM,sandwich,downtown
"Excuse me, Book a table for 2 right now",reservation,9 PM,biryani,near mall
"Hello, My order is late right now",complaint,7 PM,pizza,near mall
"Excuse me, Hey",greeting,10 PM,biryani,main road
"Excuse me, Send me a burger quickly",order,6 PM,pizza,main road
Good evening please,greeting,6 PM,biryani,main road
"Hello, My order is late right now",complaint,6 PM,sandwich,city center
Hey quickly,greeting,9 PM,pasta,city center
Send me a burger right now,order,10 PM,pizza,near mall
"Hey, Cancel my booking quickly",cancel,6 PM,pasta,city center
"Hi, What are your timings? please",query,10 PM,burger,main road
"Hello, Order food for me quickly",order,9 PM,sandwich,city center
"Excuse me, I want to order pizza",order,10 PM,pizza,main road
Send me a burger please,order,6 PM,biryani,near mall
"Hello, I want to cancel reservation",cancel,10 PM,burger,downtown
"Hey, Food quality is bad right now",complaint,10 PM,biryani,city center
"Hi, Good evening right now",greeting,10 PM,sandwich,near mall
"Excuse me, I’d like to place an order right now",order,10 PM,burger,city center
"Excuse me, This is disappointing",complaint,8 PM,pizza,main road
"Hi, I need a reservation quickly",reservation,7 PM,burger,main road
"Hello, Hey right now",greeting,10 PM,biryani,near mall
"Hey, I want to cancel reservation right now",cancel,9 PM,burger,near mall
"Hey, Reserve a table tonight right now",reservation,7 PM,pizza,city center
"Hello, Book a seat for dinner",reservation,8 PM,sandwich,main road
"Excuse me, I don’t need my order anymore please",cancel,9 PM,pizza,downtown
"Excuse me, I want chicken biryani quickly",order,8 PM,biryani,near mall
"Hi, Cancel my order please",cancel,8 PM,biryani,main road
"Hey, This is disappointing please",complaint,7 PM,burger,near mall
"Hi, I want to cancel reservation right now",cancel,6 PM,pasta,city center
"Hi, What are your timings?",query,9 PM,pasta,downtown
"Hello, Table for 4 at 8 PM quickly",reservation,8 PM,pasta,main road
"Hey, Order food for me",order,9 PM,sandwich,city center
"Hey, I don’t need my order anymore right now",cancel,8 PM,pasta,downtown
"Hi, I want to order pizza",order,8 PM,pasta,near mall
Book a table for 2,reservation,8 PM,pizza,near mall
"Hi, Hello right now",greeting,7 PM,biryani,downtown
"Excuse me, My order is late quickly",complaint,9 PM,burger,near mall
"Hi, What is on the menu? right now",query,7 PM,burger,city center
"Hi, What are your timings? quickly",query,7 PM,burger,downtown
"Hello, Book a seat for dinner please",reservation,10 PM,biryani,downtown
"Hello, This is disappointing right now",complaint,6 PM,pasta,main road
"Hello, This is disappointing quickly",complaint,8 PM,burger,main road
"Hello, Table for 4 at 8 PM quickly",reservation,10 PM,pasta,city center
"Hey, Food quality is bad quickly",complaint,6 PM,burger,main road
"Hello, Hey quickly",greeting,9 PM,biryani,main road
What is on the menu? please,query,9 PM,burger,downtown
What is on the menu?,query,10 PM,pizza,near mall
"Hello, Do you offer delivery? right now",query,10 PM,biryani,downtown
"Hey, Hey right now",greeting,9 PM,pasta,downtown
"Excuse me, Book a seat for dinner",reservation,8 PM,pasta,city center
What is on the menu? quickly,query,9 PM,pasta,downtown
"Hi, Cancel my order",cancel,7 PM,burger,main road
"Hey, Hi",greeting,8 PM,burger,near mall
"Hey, Do you offer delivery? please",query,7 PM,pasta,near mall
